"Keyword Phrase","ABA Total Click Share","ABA Total Conv. Share","Keyword Sales","Cerebro IQ Score","Search Volume","Search Volume Trend","Sponsored ASINs","Competing Products","CPR","Title Density","Organic","Sponsored Product","Amazon Recommended","Amazon Choice","Highly Rated","Sponsored Brand Header","Sponsored Brand Video","Top Rated From Our Brand","Trending Now","Sponsored Rank (avg)","Sponsored Rank (count)","Amazon Recommended Rank (avg)","Amazon Recommended Rank (count)","Position (Rank)","Relative Rank","Competitor Rank (avg)","Ranking Competitors (count)","Competitor Performance Score","B0GZP5GD8B","B0CXPGCY5J","B0GXZXV8PC","B0H1G51K7C"
"solarmodul für pool",,,"-",119,119,-14,90,1000,8,0,1,1,0,0,0,0,0,0,0,17,1,0,0,2,2,9.8,4,10,1,15,7,16
"pool heizung mit solar",30.8,,1,872,170,-34,247,195,8,0,1,1,1,0,0,0,0,0,0,34,3,38,5,12,3,12.8,4,10,2,18,5,26
"solar-poolheizung",39.4,,"-",867,221,-56,222,255,8,4,1,1,0,0,0,0,0,0,0,13,3,0,0,9,3,12.8,4,10,2,26,3,20
"solar poolheizung",43.4,45.5,11,6584,1771,-56,309,269,29,9,1,1,1,0,0,0,0,0,0,19,5,7,4,11,3,13,4,10,4,19,2,27
"pool erwärmen",46.2,,1,550,170,-51,308,309,8,0,1,1,1,0,0,0,0,0,0,19,3,36,5,12,3,13.5,4,10,3,19,10,22
"planschbecken heizung solar",,,"-",111,52,-52,120,467,8,0,1,1,0,0,0,0,0,0,0,38,2,0,0,2,1,8.7,3,8,5,15,6,"-"
"poolheizung amazon",,,"-",1028,110,7,106,107,8,0,1,1,0,0,0,0,0,0,0,37,4,0,0,6,2,9.3,3,8,5,15,8,"-"
"poolheizung für 8000 liter",,,"-",380,68,-34,56,179,8,0,1,1,0,0,0,0,0,0,0,12,1,0,0,0,0,9.7,3,8,3,19,7,"-"
"wärme pool",,,"-",116,73,-24,65,628,8,0,1,1,0,0,0,0,0,0,0,6,1,0,0,13,3,10.7,3,8,5,24,3,"-"
"steinbach solar poolheizung",,,"-",625,85,-20,28,136,8,0,1,1,1,0,0,0,0,0,0,6,2,72,1,4,1,13.7,3,8,16,"-",8,17
"poolwasser heizung",,,"-","-",0,"-",126,872,8,0,1,1,0,0,0,0,0,0,0,12,2,0,0,20,4,13.7,3,8,6,16,"-",19
"sonnenkollektor",,,"-",408,84,-28,146,206,8,18,1,1,1,0,0,0,0,0,0,29,2,83,5,6,2,15,3,8,"-",18,4,23
"poolwasser erhitzen",,,"-","-",0,"-",82,353,8,0,1,1,0,0,0,0,0,0,0,6,1,0,0,19,3,7,2,6,3,"-",11,"-"
"bestway poolheizung solar",,,"-",764,81,-13,51,106,8,0,1,1,0,0,0,0,0,0,0,21,3,0,0,7,2,8.5,2,6,4,"-",13,"-"
"mini pool heizung",,,"-",548,126,-10,60,230,8,0,1,1,0,0,0,0,0,0,0,20,1,0,0,16,3,9.5,2,6,4,"-",15,"-"
"solaranlage pool",,,"-",1042,148,-14,185,142,8,0,1,1,1,0,0,0,0,0,0,3,1,92,3,4,2,32.3,4,6,3,20,5,101
"solar teichheizung",,,"-",56,36,-44,52,643,8,0,1,1,0,0,0,0,0,0,0,3,2,0,0,11,2,2,1,4,2,"-","-","-"
"pool warm bekommen",,,"-",4,76,10,115,20000,8,0,1,1,0,0,0,0,0,0,0,7,1,0,0,25,2,4,1,4,"-","-",4,"-"
"solarpanel für poolpumpe",,,"-",990,101,-15,80,102,8,0,1,1,0,0,0,0,0,0,0,11,1,0,0,3,1,4,1,4,"-",4,"-","-"
"pool wärme",,,"-",143,110,-37,154,769,8,0,1,1,1,0,0,0,0,0,0,34,2,43,2,32,4,74.8,4,4,5,24,7,263
"pool wärmen",,,"-",182,149,-9,57,818,8,0,1,1,0,0,0,0,0,0,0,2,1,0,0,16,3,76.8,4,4,6,28,5,268
"solar warmwasser",,,"-",746,129,-9,88,173,8,0,1,0,1,0,0,0,0,0,0,0,0,93,2,10,1,38.5,2,3.6,"-",17,"-",60
